"number","total_stations","distance_covered","start_time","end_time","journey_days","journey_time","train_type","is_superfast","average_speed","DelayOverall","DelayDiscreate"
"11464",49,1415,"12:00","18:00",1,30,"Long Distance",FALSE,47.1666666666667,20.0257142857143,0.148571428571429
"11465",48,1570,"09:30","18:30",1,33,"Long Distance",FALSE,47.5757575757576,21.2448979591837,-0.102040816326531
"11466",49,1570,"10:00","18:00",1,32,"Long Distance",FALSE,49.0625,34.1616161616162,0.454545454545455
"11471",19,555,"17:40","05:40",1,12,"Long Distance",FALSE,46.25,19.5294117647059,0.0941176470588235
"11472",19,555,"23:00","10:45",1,11.75,"Long Distance",FALSE,47.2340425531915,9.43046357615894,-0.609271523178808
"11651",13,352,"15:15","22:10",0,6.91666666666667,"Long Distance",FALSE,50.8915662650602,29.0615384615385,0
"11652",13,352,"04:55","11:40",0,6.75,"Long Distance",FALSE,52.1481481481481,35.5528455284553,3.75609756097561
"11701",17,759,"05:00","21:30",0,16.5,"Long Distance",FALSE,46,24.2,-0.125
"11702",16,759,"04:00","20:25",0,16.4166666666667,"Long Distance",FALSE,46.2335025380711,14.5875,0.0875
"11703",18,812,"05:00","20:30",0,15.5,"Long Distance",FALSE,52.3870967741936,16.5316455696203,0.291139240506329
"11704",17,812,"04:00","22:20",0,18.3333333333333,"Long Distance",FALSE,44.2909090909091,22.6794871794872,2.76923076923077
"12001",10,707,"15:00","23:30",0,8.5,"Long Distance",TRUE,83.1764705882353,34.040404040404,3.55555555555556
"12002",10,707,"06:00","14:25",0,8.41666666666667,"Long Distance",TRUE,84,8.81,1.35
"12003",7,511,"15:35","22:15",0,6.66666666666667,"Long Distance",TRUE,76.65,15.9714285714286,2.41428571428571
"12004",7,511,"06:10","12:40",0,6.5,"Long Distance",TRUE,78.6153846153846,15.3857142857143,4.5
"12005",5,303,"17:15","21:20",0,4.08333333333333,"Long Distance",TRUE,74.2040816326531,2.44,0
"12006",5,303,"06:15","10:25",0,4.16666666666667,"Long Distance",TRUE,72.72,4,1.36
"12007",4,500,"06:00","13:00",0,7,"Long Distance",TRUE,71.4285714285714,13,5.63888888888889
"12008",4,500,"14:15","21:25",0,7.16666666666667,"Long Distance",TRUE,69.7674418604651,7.03225806451613,2.09677419354839
"12009",9,491,"06:25","12:45",0,6.33333333333333,"Long Distance",TRUE,77.5263157894737,5.53086419753086,-0.246913580246914
