"code","lat","lng","state","fullname","Pin_code","stops","DelayOverall","DelayDiscreate"
"DHNR",19.4653787,78.1327471,"Maharashtra","DHANORA DECCAN",431810,4,21.1621621621622,1
"DHO",26.6976226,77.9056753,"Rajasthan","DHAULPUR",328001,43,53.3639344262295,-3.51803278688525
"DHOA",27.1840217,78.0118292,"Uttar Pradesh","DHOLPUR (NG)",282003,4,NA,NA
"DHP",18.6137093,78.1951234,"Telangana","DICHPALLI",503175,10,25.1428571428571,4.58241758241758
"DHPD",24.198829,88.2464986,"West Bengal","DHAPARA DHAM",742160,11,13.7216494845361,1.8659793814433
"DHPR",30.5175162,76.8075161,"Punjab","DAPPAR",140506,7,21.1296296296296,-2.59259259259259
"DHQ",22.0096757,77.950176,"Madhya Pradesh","DHARAKHOH",460443,2,87.6666666666667,6.16666666666667
"DHR",26.8096013,92.4530748,"Assam","DHARNAODA",784111,6,20.2962962962963,-10.3703703703704
"DHRJ",25.7454184,81.9238908,"Uttar Pradesh","DHIRGANJ",230402,6,96.4905660377358,2.22641509433962
"DHRN",29.2470148,76.7946696,"Haryana","DHURANA",131306,8,11.140350877193,0
"DHRR",28.361127,73.59854,"Rajasthan","DHIRERA",334602,10,18.7948717948718,0.858974358974359
"DHRY",25.9584981,92.9084051,"Assam","DHALPUKHURI",782442,2,43.4444444444444,5.16666666666667
"DHS",18.1294672,75.3343463,"Maharashtra","DHAVALAS",413208,4,89.7105263157895,10.4210526315789
"DHT",25.5908231,86.5994428,"Bihar","DHAMARA GHAT",851201,16,41.7076923076923,3.60769230769231
"DHU",23.4892721,88.444516,"West Bengal","DHUBULIA",741139,26,19.8082191780822,1.88584474885845
"DHW",31.951545,75.325196,"Punjab","DHARIWAL",143519,19,39.4294478527607,-0.159509202453988
"DHWN",25.4351729,85.2916454,"Bihar","DANIAWAN",803201,6,29.5164835164835,5.14285714285714
"DHY",29.639649,76.0559571,"Haryana","DHARODI",126116,8,21.830985915493,1.54929577464789
"DIA",27.4062688,74.5578178,"Rajasthan","DIDWANA",341303,13,29.7704918032787,-3.18032786885246
"DIB",28.1952341,78.30452,"Uttar Pradesh","DIBAI",203393,8,100.293333333333,0.96
"DIBL",22.44444,72.068595,"Gujarat","DHOLI (BHAL)",363425,6,12.1090909090909,2.4
"DIG",16.3277729,80.6238459,"Andhra Pradesh","DUGGIRALA",522330,18,43,2.35135135135135
"DIH",21.9947844,84.2233908,"Odisha","DHARUADIHI",770022,9,48.3614457831325,1.04819277108434
"DIL",26.9598472,80.6680074,"Uttar Pradesh","DILAWARNAGAR",226103,14,142.89,4.1
"DIM",23.2672706,87.4657631,"West Bengal","DHANSIMLA",722207,NA,NA,NA
"DING",29.4609337,75.2604846,"Haryana","DING",125055,12,27.1504424778761,0.47787610619469
"DINR",10.2858192,76.3369332,"Kerala","DIVINE NAGAR HALT (F",680309,18,35.9588235294118,-0.6
"DIP",20.7929977,78.0410754,"Maharashtra","DIPORE",444904,6,27.3703703703704,-0.148148148148148
"DIPA",27.7075764,94.8504022,"Assam","DIPA",787059,2,1,0.176470588235294
"DIR",18.9422011,82.5128024,"Odisha","DHANAPUR ORISSA",764002,2,68.5,1.66666666666667
"DISA",24.2370852,72.1795603,"Gujarat","DISA",385540,10,76.8536585365854,4.41463414634146
"DIT",26.2683322,83.5133912,"Uttar Pradesh","DOHRIGHAT",276306,8,0,0
"DIU",26.453267,92.452176,"Assam","DHING",782126,2,8.44444444444444,0
"DIVA",19.1885066,73.0417098,"Maharashtra","DIVA",400612,17,14.9807692307692,-4.76282051282051
"DIW",31.502169,75.32889,"Punjab","DHILWAN",144804,9,57.8088235294118,-0.147058823529412
"DJ",27.0376977,88.2629645,"West Bengal","DARJEELING",734101,15,NA,NA
"DJA",25.2392907,93.1704885,"Assam","DAOTUHAJA",788830,2,47.3888888888889,5.94444444444444
"DJD",26.0919768,82.8015089,"Uttar Pradesh","DIDARGANJ ROAD",223222,6,29.448275862069,0.379310344827586
"DJG",27.3672749,95.3066486,"Assam","DULIAJAN",786602,12,25.2,1.77333333333333
"DJHR",22.0807955,85.4771152,"Odisha","DEOJHAR",758038,2,31.25,8.45
"DJI",21.7220246,70.4444544,"Gujarat","DHORAJI",360410,2,17.65,2.6
"DJL",13.18343,77.65222,"Karnataka","DODJALA H",562157,2,10.6111111111111,0.111111111111111
"DJRZ",27.0376977,88.2629645,"West Bengal","DARJEELING JOY RIDE",734101,6,NA,NA
"DJS",25.220938,86.046969,"Bihar","DHURANI JWAS HALT",811302,1,171.777777777778,0.333333333333333
"DJX",21.0609334,83.5589111,"Odisha","DUNGRIPADI",767023,6,81.0819672131148,7.27868852459016
"DK",22.746833,73.1582218,"Gujarat","DAKOR",388225,14,8.61363636363636,-0.477272727272727
"DKBJ",26.9445665,75.765924,"Rajasthan","DAHAR KA BALAJI",302039,11,6.31372549019608,1.41176470588235
"DKC",16.6308876,77.8384256,"Telangana","DEVARKADRE",509204,6,80.6037735849057,6.28301886792453
"DKD",15.8338716,79.484553,"Andhra Pradesh","DONAKONDA",523305,22,44.5764705882353,-3.13529411764706
"DKDE",28.4116775,77.6455603,"Uttar Pradesh","DANKAUR",203202,23,33.8772727272727,3.13636363636364
"DKE",25.4507925,93.1271338,"Assam","DIHAKHO",788832,2,38.2777777777778,2.55555555555556
"DKGN",26.6798122,92.7638143,"Assam","DEKARGAON",784501,10,-2.47761194029851,-5.74626865671642
"DKGS",25.4112216,86.0138726,"Bihar","DINKAR GRAM SIMARIA",851126,12,50.0326086956522,-14.7282608695652
"DKI",22.510438,77.54863,"Madhya Pradesh","DHARMKUNDI",461221,4,82.5263157894737,1.57894736842105
"DKJ",17.446015,80.152976,"Telangana","DORNAKAL JN",506381,42,25.9333333333333,-4.33666666666667
"DKJR",26.8096013,92.4530748,"Assam","DHEKIAJILI ROAD",784111,7,9.22222222222222,0.148148148148148
"DKLU",19.7413387,83.4852362,"Odisha","DOIKALLU",765020,6,74.4313725490196,0.411764705882353
"DKM",27.463832,95.0805698,"Assam","DIKOM",786101,4,NA,NA
"DKN",12.9854589,77.8314571,"Karnataka","DEVANGONTHI",562114,14,22.504132231405,2.04132231404959
"DKNT",25.1458338,75.8658878,"Rajasthan","DAKANIYA TALAV",324007,19,28.3742331288344,2.31288343558282
"DKO",10.0380139,78.7622255,"Tamil Nadu","DEVAKOTTAI ROAD",630001,15,15.34375,-0.875
"DKRA",24.4924502,75.8907062,"Madhya Pradesh","DHUANKHERI",458778,6,52.3333333333333,5.49122807017544
"DKS",21.2709593,80.5804896,"Maharashtra","DAREKASA",441916,13,37.0471698113208,2.94339622641509
"DKSA",16.7972118,82.0491842,"Andhra Pradesh","DRAKSHARAMA",533262,NA,NA,NA
"DKT",30.3959578,76.7876208,"Haryana","DHULKOT",133006,5,23.2727272727273,-0.545454545454545
"DKU",21.324958,79.231884,"Maharashtra","DUMRI KHURD",441105,6,6.73684210526316,2.17543859649123
"DKUR",16.5914081,77.85308,"Telangana","DOKUR",509204,2,67.6666666666667,4.16666666666667
"DKW",24.146748,71.825875,"Gujarat","DHANAKWADA",385535,2,21.95,-0.85
"DKWA",28.5800537,75.3232661,"Rajasthan","DOKWA",331023,4,11.4210526315789,1.73684210526316
"DKX",28.4603064,75.1665151,"Rajasthan","DUDHWAKHARA",331029,4,11.3157894736842,0.473684210526316
"DKY",18.3534778,76.1032725,"Maharashtra","DHOKI",413508,4,27.7105263157895,-6.21052631578947
"DKZ",28.6642483,77.2008136,"Delhi","DELHI KISHANGNJ",110007,61,34.5703703703704,9.69814814814815
"DL",22.585384,71.070096,"Gujarat","DALADI",363621,8,24.2058823529412,-1.13235294117647
"DLA",24.994951,78.4288683,"Uttar Pradesh","DOULTA",284126,6,84.7321428571429,4.14285714285714
"DLB",19.9164146,75.2104379,"Maharashtra","DAULATABAD",431002,9,31.3855421686747,3.02409638554217
"DLC",28.407028,73.656236,"Rajasthan","DALMERA",334602,6,20.4137931034483,0.758620689655172
"DLD",23.9490677,75.1059173,"Madhya Pradesh","DALAUDA",458667,4,27.4705882352941,3.05882352941176
"DLDE",25.8199279,93.5164136,"Assam","DALDALI",782480,2,25.3888888888889,0.0555555555555556
"DLF",25.602937,87.56293,"Bihar","DALAN",854337,14,18.6949152542373,6.71186440677966
"DLGN",17.122476,74.990895,"Maharashtra","DHALGAON",416403,10,8.91025641025641,-0.769230769230769
"DLI",28.6609677,77.2276704,"Delhi","DELHI",110006,257,32.9968911917098,5.14559585492228
"DLJ",21.8231076,71.7387078,"Gujarat","DHOLA JN",364320,29,15.3858695652174,0.945652173913043
"DLK",25.8736864,87.8388589,"West Bengal","DALKOLHA",733201,34,75.6268656716418,13.0796019900498
"DLMH",20.0791195,85.6053266,"Odisha","DHAULIMUHAN",752018,2,50.5172413793103,2.27586206896552
"DLN",25.4193326,83.6682914,"Uttar Pradesh","DILDARNAGAR JN",232326,53,114.992021276596,1.82712765957447
"DLO",26.7145561,89.1371173,"West Bengal","DALGAON",735204,14,17.6896551724138,-1.03448275862069
"DLP",28.8207429,78.8774524,"Uttar Pradesh","DALPATPUR",244902,6,193.788461538462,5.51923076923077
"DLPH",25.330581,88.3367976,"West Bengal","DAULATPUR HAT",733125,4,19.6428571428571,0.0714285714285714
"DLPI",28.6270824,77.1435687,"Delhi","DELHI INDRAPURI",110028,5,33.7,0
"DLPT",21.007287,86.2820339,"Odisha","DULAKHAPATNA",755025,8,31.4941176470588,1.28235294117647
"DLQ",27.1187276,80.4196989,"Uttar Pradesh","DALELNAGAR",241126,10,144.574712643678,3.08045977011494
"DLR",25.7996359,83.4229125,"Uttar Pradesh","DULLAHAPUR",275202,21,62.8070175438597,-1.14035087719298
"DLSR",32.2885663,75.7509128,"Punjab","DALHOGI ROAD",145001,14,17.2992125984252,3.8740157480315
"DLW",24.5374694,85.4202266,"Jharkhand","DILWA",805125,4,58.5,0.95
"DLX",25.640488,88.3861426,"West Bengal","DALIMGAON",733129,4,3.91666666666667,1.25
"DMA",23.6509069,86.9086267,"West Bengal","DAMODAR JN",713371,26,11.0753968253968,0.892857142857143
"DMBR",23.8071085,85.7638425,"Jharkhand","DUMRI BIHAR(E)",825315,7,68.5555555555556,-0.861111111111111
"DMC",27.488672,94.5415724,"Assam","DHEMAJI",787057,5,4.13888888888889,-2
"DMD",11.7699849,75.4696019,"Kerala","DHARMADAM",670106,8,25.8333333333333,1.56944444444444
"DME",21.6883912,71.5095323,"Gujarat","DAMNAGAR",365220,4,11.4615384615385,1.33333333333333
"DMF",22.2139373,84.9329853,"Odisha","DUMERTA",770036,2,4.27777777777778,4.11111111111111
"DMG",26.7649049,83.341784,"Uttar Pradesh","DOMINGARH",273015,8,33.5921052631579,8.86842105263158
"DMGN",27.3873122,94.8375436,"Assam","DHAMALGOAN",786004,4,7.12903225806452,3.87096774193548
"DMH",25.9086543,86.7829725,"Bihar","DAURAM MADHPURA",852113,10,35.7894736842105,0.157894736842105
"DMK",18.987988,81.737664,"Chhattisgarh","DILMILI",494442,2,62.5333333333333,0.533333333333333
"DML",26.1882532,92.3654281,"Assam","DHARAMTUL",782105,6,16.5925925925926,-1.42592592592593
"DMLE",23.0399124,88.4323623,"West Bengal","DUMURDAHA",712515,5,16.1777777777778,0
"DMM",14.426474,77.715774,"Andhra Pradesh","DHARMAVARAM JN",515672,88,11.4692874692875,-22.960687960688
"DMN",20.7846186,78.1380925,"Maharashtra","DHAMANGAON",444709,34,19.3627906976744,1.1906976744186
"DMNJ",18.7684873,82.8664179,"Odisha","DAMAN JODI",763008,10,38.1111111111111,1.96666666666667
"DMO",23.8356344,79.4318065,"Madhya Pradesh","DAMOH",470661,62,33.6228956228956,2.85858585858586
"DMP",30.900018,77.0238739,"Himachal Pradesh","DHARMPUR HMCHL",173209,6,27.6792452830189,19.5094339622642
"DMPR",28.1479529,78.2641665,"Uttar Pradesh","DHARAMPUR",203393,6,98.5614035087719,2.82456140350877
"DMRT",18.7803053,82.8039666,"Odisha","DUMURIPUT",764021,6,32.8490566037736,3.54716981132075
"DMRX",25.2460093,86.0293538,"Bihar","DUMRI",811302,9,82.6753246753247,2.7012987012987
"DMT",15.3950321,78.8261421,"Andhra Pradesh","DIGUVAMETTA",523367,10,44.3819444444444,-9.17361111111111
"DMV",25.9059053,93.7281182,"Nagaland","DIMAPUR",797112,47,44.5414847161572,-0.921397379912664
"DMW",26.0753474,81.0538167,"Uttar Pradesh","DALMAU JN",229207,12,39.7413793103448,-2.60344827586207
"DMYA",23.9713449,80.997785,"Madhya Pradesh","DAMOY",484661,4,140.631578947368,5.5
"DMZ",26.4769836,88.2960945,"West Bengal","DUMDANGI",733207,2,104.533333333333,3.8
"DN",28.3285753,78.5098886,"Uttar Pradesh","DHANARI",202421,6,99.25,-2.76785714285714
"DNA",26.8970826,74.3165877,"Rajasthan","DEGANA JN",341503,61,40.2591240875912,-2.47080291970803
"DND",25.8022963,82.0413119,"Uttar Pradesh","DANDUPUR",230304,11,114.634408602151,6.08602150537634
"DNDI",19.0866561,76.743831,"Maharashtra","DHONDI",431521,12,22.9626168224299,3.88785046728972
"DNDL",20.7148831,85.5338144,"Odisha","DANDI MAL",759025,6,22.3888888888889,-0.0925925925925926
"DNE",19.6489886,77.178365,"Maharashtra","DHAMNI",431702,6,36.7547169811321,1.66037735849057
"DNEA",23.8000474,85.6587393,"Jharkhand","DANEA",825325,8,74.1944444444444,3.11111111111111
"DNGI",27.70836,95.5676812,"Assam","DANGARI",786154,2,NA,NA
"DNJ",18.2300146,74.176887,"Maharashtra","DAUNDAJ",412305,4,35.5,4.41666666666667
"DNK",26.9183247,75.605582,"Rajasthan","DHANAKYA",303706,8,26.6666666666667,0.36
"DNKL",20.6766572,85.5905518,"Odisha","DHENKANAL",759013,49,20.9906542056075,4.64018691588785
"DNL",21.3217201,80.4271048,"Maharashtra","DHANOLI",441916,11,27.9318181818182,2.13636363636364
"DNM",20.6870109,86.1117174,"Odisha","DHANMANDAL",754296,12,33.2295081967213,5.27868852459016
"DNN",32.1345541,75.467335,"Punjab","DINA NAGAR",143531,17,35.0915492957746,0.690140845070423
"DNPR",23.45077,72.220218,"Gujarat","DHANPURA",384430,4,4.27777777777778,-1
"DNQ",25.574163,87.646944,"Bihar","DANDKHORA",855114,10,29.620253164557,-0.835443037974684
"DNR",25.5822775,85.0436279,"Bihar","DANAPUR",801105,104,91.8802816901408,5.46056338028169
"DNRA",29.8434382,77.9021933,"Uttarakhand","DHANDHERA",247667,10,85.2073170731707,7.32926829268293
"DNRE",25.1711239,86.2238588,"Bihar","DHANAURI",811310,24,34.5662100456621,-3.80365296803653
"DNRP",23.8674267,73.695651,"Rajasthan","DUNGARPUR",314001,4,19.8421052631579,4.68421052631579
"DNT",21.8926551,87.2700713,"West Bengal","DANTAN",721426,18,19.0141843971631,-0.205673758865248
"DNU",13.268971,78.169954,"Karnataka","DALSANUR",563126,2,17,0
"DNUA",23.3521062,73.199088,"Gujarat","DHANSURA",383310,4,0,0
"DNV",18.4693986,83.3520449,"Andhra Pradesh","DONKINAVALASA",535578,10,31.8837209302326,1.06976744186047
"DNW",23.381569,72.44897,"Gujarat","DANGARWA",382705,6,53.8409090909091,2.04545454545455
"DNWH",25.4348994,85.2912674,"Bihar","DANIYAWAN BZR H",803201,12,79.5466666666667,3.41333333333333
"DNX",29.208301,75.799758,"Haryana","DHANSU",125005,12,20.6363636363636,1.38181818181818
"DO",26.9003843,76.3308182,"Rajasthan","DAUSA",303303,53,61.3573667711599,5.23197492163009
"DOA",30.8041294,76.0433612,"Punjab","DORAHA",141418,14,93.1574803149606,3.8740157480315
"DOB",27.938717,75.237317,"Rajasthan","DUNDLOD MKDGRH",333705,6,2.3953488372093,-1.74418604651163
"DOC",30.378676,76.458324,"Punjab","DAUN KALAN",147021,7,31.953125,4.96875
"DOD",23.7704734,75.1033627,"Madhya Pradesh","DHODHAR",457339,4,26.6764705882353,-0.382352941176471
"DODH",30.845981,74.524211,"Punjab","DODH",152002,2,10.8,-0.05
"DOE",23.2982699,80.0094536,"Madhya Pradesh","DEORI",483220,14,83.75,7.06060606060606
"DOH",22.2812387,77.8750474,"Madhya Pradesh","DHODRA MOHAR",460440,6,98.0882352941177,-4.02941176470588
"DOK",22.7321248,72.4343473,"Gujarat","DHOLKA",387810,10,9.40860215053763,2.12903225806452
"DOKM",23.7758411,86.4879799,"Jharkhand","DOKRA HALT",826124,19,11.9645390070922,1.82269503546099
"DOKY",30.2956452,76.8843917,"Haryana","DUKHERI",133004,14,35.1897810218978,12.1751824817518
"DOL",25.9764837,85.5648869,"Bihar","DHOLI",843105,23,55.755980861244,5.23923444976077
"DOR",25.8956524,72.7968009,"Rajasthan","DUNDARA",342801,2,22.0555555555556,-0.333333333333333
"DORD",24.844348,84.4198573,"Bihar","DEO ROAD",824121,12,45.3513513513514,0.689189189189189
"DOS",24.9151459,84.1855467,"Bihar","DEHRI ON SONE",821307,86,59.9812646370023,3.40983606557377
"DOT",28.045411,79.88539,"Uttar Pradesh","DHAKIA TIWARI",242407,1,6.12328767123288,0.958904109589041
"DOTL",25.2746457,88.2941217,"West Bengal","DEOTALA",732124,4,19.5714285714286,0
"DOW",22.398573,72.954316,"Gujarat","DAVOL",388543,4,6.82051282051282,0
"DOX",28.456017,79.4384024,"Uttar Pradesh","DOHNA",243202,7,18.1392405063291,4.18987341772152
"DOY",12.4317335,76.4325875,"Karnataka","DORNAHALLI",571602,6,18.3928571428571,1.25
"DOZ",26.3959445,74.6192694,"Rajasthan","DAURAI",305003,4,19.425,-3.325
"DPA",26.855037,75.7866087,"Rajasthan","DURGAPURA",302020,53,27.3411214953271,9.08411214953271
"DPC",18.349755,82.703163,"Odisha","DARLIPUT",764038,2,56,1.28571428571429
"DPD",16.4688884,80.9391765,"Andhra Pradesh","DOSAPADU",521321,4,28.9615384615385,-4.57692307692308
"DPE",13.7233002,77.5119126,"Karnataka","DEVARAPALLI",515211,4,55.1891891891892,5.18918918918919
"DPH",22.0281062,82.1233821,"Chhattisgarh","DADHAPARA",495223,13,17.9537037037037,6.2962962962963
"DPI",12.1816398,78.422167,"Tamil Nadu","DODDAMPATTI",635305,6,21.4150943396226,1.26415094339623
"DPJ",12.1261981,78.1541272,"Tamil Nadu","DHARMAPURI",636701,24,36.7041420118343,0.189349112426035
"DPK",29.760705,74.2519,"Rajasthan","DHOLIPAL",335064,2,2.94736842105263,0.736842105263158
"DPL",25.4214329,86.2599277,"Bihar","DANAULI PHLWRIA",851126,14,55.9090909090909,1.14393939393939
"DPP",30.0664988,76.8444514,"Haryana","DHIRPUR",136118,12,35.0431034482759,0.982758620689655
"DPR",29.3059277,78.5020086,"Uttar Pradesh","DHAMPUR",246761,21,113.15,0.4125
"DPRA",25.9809913,91.0480651,"Assam","DHUP DHARA",783123,6,11.2692307692308,2.19230769230769
"DPS",22.1675091,85.5930431,"Jharkhand","DANGOAPOSI",833203,12,21.2871287128713,3.22772277227723
"DPSR",25.959875,80.212172,"Uttar Pradesh","DAPSAURA",209206,4,48,4.70588235294118
"DPT",29.9258442,73.519392,"Rajasthan","DALPAT SINGHPUR",335023,4,4.02564102564103,0.205128205128205
"DPU",25.8379991,93.4386081,"Assam","DIPHU",782460,45,55.6289592760181,4.78280542986425
"DPUR",19.975882,83.271622,"Odisha","DEPUR PH",766110,6,11.5,-0.717391304347826
"DPX",24.8277034,86.351147,"Bihar","DADPUR",811305,15,77.5241379310345,14.7724137931034
"DPZ",26.031833,76.253862,"Rajasthan","DEVPURA",322701,4,29.775,6.75
"DQG",26.5739513,88.9945507,"West Bengal","DHUPGURI",735210,36,55.3267973856209,9.51633986928105
"DQL",26.7913365,92.9231355,"Assam","DHALAIBIL",784182,3,3.88235294117647,1.88235294117647
"DQN",24.5035796,72.0325573,"Gujarat","DHANERA",385310,8,9.13636363636364,10.5909090909091
"DQR",17.419931,78.483119,"Telangana","KACHEGUDA DBR",500029,16,46.1504424778761,0
"DR",19.0194408,72.8432122,"Maharashtra","DADAR",400028,108,12.1921119592875,0.898218829516539
"DRA",22.575238,77.653785,"Madhya Pradesh","DULARIA",461116,4,75.5526315789474,7.36842105263158
"DRB",24.619571,73.8050451,"Rajasthan","DEBARI",313024,6,5.03333333333333,0.35
"DRBR",26.283554,83.881603,"Uttar Pradesh","DEORAHA BABA RD",274509,8,0,0
"DRD",19.9915287,72.7435151,"Maharashtra","DAHANU ROAD",401602,51,6.22752808988764,-3.61516853932584
"DRG",26.752138,82.2082423,"Uttar Pradesh","DARSHANNAGAR",224135,4,162.555555555556,4.58333333333333
"DRGJ",25.4431896,81.8805457,"Uttar Pradesh","DARAGANJ",211006,6,55.7586206896552,9.74137931034483
"DRGM",24.1098323,82.3591858,"Madhya Pradesh","DEORAGRAM",486886,4,131.921052631579,8.36842105263158
"DRGU",23.4506387,86.0903633,"West Bengal","DAMRU GHUTU",723201,4,6.57575757575758,-0.96969696969697
"DRH",25.2580326,86.4118494,"Bihar","DHARHARA",811212,34,43.2706270627063,3.31353135313531
"DRHI",22.0815886,76.8269527,"Madhya Pradesh","DAGARKHEDI",450116,4,78.6315789473684,-1.02631578947368
"DRI",25.7488606,84.8708278,"Bihar","DUMRI JUARA",841211,6,69.4324324324324,4.36486486486486
"DRL",22.6301336,73.4619498,"Gujarat","DEROL",389320,22,23.5153374233129,4.8159509202454
"DRLA",29.123771,77.707711,"Uttar Pradesh","DAURALA",250221,16,60.5987261146497,3.5859872611465
"DRN",28.6276939,79.4743735,"Uttar Pradesh","DEORANIAN",243203,8,18.3164556962025,0.911392405063291
"DRO",27.5982436,79.0829085,"Uttar Pradesh","DARYAOGONJ",207244,6,12.3508771929825,-1.7719298245614
"DRQ",26.829775,84.779832,"Bihar","DHARMINIYA",845433,2,419,3.125
"DRR",17.2899644,77.7615745,"Telangana","DHARUR",501121,10,22.3058823529412,-1
"DRS",25.781379,73.67158,"Rajasthan","DHARESHWAR",306001,4,37.425,2.7
"DRSN",23.1292168,81.8460435,"Madhya Pradesh","DHURWASIN",484224,17,25.7647058823529,0.308823529411765
"DRTP",25.264887,86.464539,"Bihar","DASHARATHPUR",811212,22,43.8990384615385,-1.48557692307692
"DRU",13.5503352,76.0085783,"Karnataka","KADUR",577548,45,22.4306569343066,0.27007299270073
"DRV",25.3946758,83.6045103,"Uttar Pradesh","DARAULI",232329,12,40.7203389830508,7.42372881355932
"DRW",23.967078,72.380815,"Gujarat","DHAREWADA",384151,4,36.2894736842105,4.26315789473684
"DRWN",22.4877793,85.2994836,"Jharkhand","DEROWAN",833103,3,100.481481481481,5.11111111111111
"DRZ",20.5879119,81.06848,"Chhattisgarh","DALLI RAJHARA",491228,2,NA,NA
"DS",28.6867191,77.5536298,"Uttar Pradesh","DASNA",201015,8,154.030769230769,7.18461538461538
"DSA",28.6733337,77.2924127,"Delhi","DELHI SHAHDARA",110032,105,38.472647702407,13.0689277899344
"DSAP",28.6733633,77.3196542,"Delhi","DELHI SHAHDARA A PAN",110095,4,NA,NA
"DSB",20.4577804,75.0142018,"Maharashtra","SADAR BAZAR",424101,49,25.1390041493776,9.75726141078838
"DSD",21.1315753,73.5166998,"Gujarat","DOSVADA",394670,3,20.7777777777778,2.61111111111111
"DSJ",28.5834086,77.2072549,"Delhi","DELHI SAFDARJNG",110021,11,29.5,-0.03125
"DSK",21.0734781,75.8389556,"Maharashtra","DUSKHEDA",425501,4,73.4736842105263,18.2105263157895
"DSL",26.8502058,73.8853097,"Rajasthan","DESWAL",341514,4,31.875,2.25
"DSM",10.94467,79.3564355,"Tamil Nadu","DARASURAM",612702,6,17.8965517241379,0.655172413793103
"DSME",24.2743269,85.7906091,"Jharkhand","DASARA",825109,4,45.15,-0.15
"DSNI",29.784564,77.979354,"Uttarakhand","DAUSNI",247663,11,81.2530120481928,8.60240963855422
"DSNR",22.5980597,88.3083643,"West Bengal","DASHNAGAR",711105,1,7.3,0
"DSO",27.7905817,73.339138,"Rajasthan","DESHNOK",334801,20,26.5,6.90845070422535
"DSPN",22.0298274,87.8178219,"West Bengal","DESHPRAN PH",721626,6,1.55555555555556,-0.75
"DSPT",11.8590287,78.1384489,"Tamil Nadu","DANISHPET",636354,6,26.5849056603774,3.54716981132075
"DSR",25.8114155,93.6005263,"Assam","DHANSIRI",782480,2,22.4444444444444,-2.61111111111111
"DSS",25.6650223,85.8413771,"Bihar","DALSINGH SARAI",848114,47,44.0615835777126,3.0733137829912
"DST",12.2514018,78.4388638,"Tamil Nadu","DASAMPATTI",635304,6,22.811320754717,3.09433962264151
"DSX",27.0608061,94.6927426,"Assam","DESANG",785672,2,6.5,0
"DTAE",23.2779692,88.3119464,"West Bengal","DHATRIGRAM",713405,5,24.9555555555556,0.955555555555556
"DTC",25.0927532,92.8046171,"Assam","DITOKCHERRA",788818,2,35.4444444444444,1.5
"DTE",22.4529428,87.9142284,"West Bengal","DEULTI",711303,4,19.6666666666667,-0.333333333333333
"DTF",27.197059,76.958474,"Rajasthan","DANTLA",321606,6,110.470588235294,5.7843137254902
"DTJ",23.339974,72.1843,"Gujarat","DETROJ",382120,4,3.95,0.175
"DTL",23.2894428,82.395779,"Chhattisgarh","DARRITOLA",497773,6,39.1666666666667,2.7962962962963
"DTN",29.68737,76.006201,"Haryana","DHAMTAN SAHIB",126116,8,21.4366197183099,0.0140845070422535
"DTO",24.0331665,84.0743931,"Jharkhand","DALTONGANJ",822101,42,56.4639175257732,0.61340206185567
"DTP",16.7412323,78.0845386,"Telangana","DIVITI PALLI",509001,9,68.6764705882353,5.89705882352941
"DTQ",25.757663,76.70752,"Madhya Pradesh","DANTARDA KALAN",476337,4,NA,NA
"DTR",20.7150904,81.550827,"Chhattisgarh","DHAMTARI",493773,6,NA,NA
"DTRA",26.774768,75.154035,"Rajasthan","DANTRA",303348,2,32.8421052631579,5.26315789473684
"DTV",21.8970378,84.0912347,"Odisha","DHUTRA",768203,9,45.8433734939759,8.43373493975904
"DTVL",19.1870722,73.059113,"Maharashtra","DATIVLI CABIN",400612,14,26.1395348837209,3.41085271317829
"DTW",29.8907541,75.6209906,"Punjab","DATEWAS",151503,6,31.7407407407407,0.611111111111111
"DTX",26.4692469,90.4952222,"Assam","DANGTAL",783381,4,17.4242424242424,8.06060606060606
"DUA",24.4497468,78.3218108,"Madhya Pradesh","DHAURA",284403,14,96.1401869158879,11.196261682243
"DUAN",22.354679,87.5835289,"West Bengal","DUAN",721160,1,16.1,0
"DUB",28.36406,79.002169,"Uttar Pradesh","DABTARA",243720,13,82.2912621359223,-1.11650485436893
"DUBH",25.9486101,85.6168306,"Bihar","DUBAHA",848125,8,53.0632911392405,2.15189873417722
"DUD",17.3626151,76.380211,"Maharashtra","DUDHANI",413220,18,35.1233766233766,7.81818181818182
"DUE",26.798863,84.141331,"Uttar Pradesh","DUDAHI",274302,4,56.6744186046512,-5.88372093023256
"DUI",30.372987,75.8662474,"Punjab","DHURI JN",148024,67,28.0280612244898,-0.98469387755102
"DUJ",23.8029425,87.3785141,"West Bengal","DUBRAJPUR",731123,13,11.344,1.04
"DUK",25.9344748,72.9021295,"Rajasthan","DUDIA",342801,2,20.6666666666667,1
"DULP",29.4498655,75.8888876,"Haryana","DAULATPUR HRYNA",125111,10,25.0333333333333,1.22222222222222
"DUM",27.292035,77.5364149,"Rajasthan","DHAURMUI JAGHNA",321025,6,24.3389830508475,2.42372881355932
"DUMK",24.2895206,87.2552365,"Jharkhand","DUMKA",814101,8,0,-0.894736842105263
"DUN",28.669177,79.120726,"Uttar Pradesh","DUGANPUR",243701,4,271.323529411765,5.5
"DUO",26.7934291,80.0823021,"Uttar Pradesh","DHAURSALAR",209210,8,23.7662337662338,1.96103896103896
"DUR",15.7548672,74.4982613,"Karnataka","DESUR",590014,8,28.1506849315068,4.95890410958904
