"code","lat","lng","state","fullname","Pin_code","stops","DelayOverall","DelayDiscreate"
"ADST",22.9548924,88.3790902,"West Bengal","ADI SAPTAGRAM",712502,1,5,2.5
"ADT",11.0088892,79.4783862,"Tamil Nadu","ADUTURAI",612101,12,24.4821428571429,4.02678571428571
"ADTL",23.227911,79.9729489,"Madhya Pradesh","ADHARTAL",482004,10,90.15625,6.90625
"ADTP",22.7834741,86.1576889,"Jharkhand","ADITYAPUR",831013,27,22.2130434782609,0.521739130434783
"ADVI",16.9218301,73.5928138,"Maharashtra","ADAVALI",416712,8,73.5866666666667,6.65333333333333
"ADX",26.925303,84.942362,"Bihar","ADDERLEY",845301,NA,NA,NA
"AE",21.6081093,71.2283019,"Gujarat","AMRELI",365601,2,0.411764705882353,0
"AED",27.032877,77.615646,"Uttar Pradesh","AULENDA",283110,8,61.2368421052632,5.36842105263158
"AEH",25.9558126,78.2763563,"Madhya Pradesh","ANANT PAITH",475110,4,151.147058823529,6.91176470588235
"AEJ",22.5815632,72.26799,"Gujarat","ARNEJ",382240,10,12.0108695652174,2.02173913043478
"AEK",12.7236302,77.7104777,"Karnataka","ANEKAL ROAD",562107,5,33.4444444444444,6.68888888888889
"AEL",28.1006527,76.2535601,"Haryana","ATELI",123021,8,28.7857142857143,2.87142857142857
"AEP",21.588772,71.211892,"Gujarat","AMRELI PARA",365601,2,0.411764705882353,0
"AF",27.1825717,78.0182266,"Uttar Pradesh","AGRA FORT",282002,59,83.6077738515901,-0.660777385159011
"AFK",10.1838111,76.3776558,"Kerala","ANGAMALI",683572,51,34.9850746268657,0.898009950248756
"AFR",28.4052927,78.9058685,"Uttar Pradesh","ASAFPUR",243632,12,86.5247524752475,0.574257425742574
"AGA",27.1924603,78.0162329,"Uttar Pradesh","AGRA CITY",NA,6,52.2926829268293,1.09756097560976
"AGAE",23.5811516,88.2266119,"West Bengal","AGRADWIP",713502,4,18.6,0.571428571428571
"AGAS",22.5019125,72.8839486,"Gujarat","AGAS",388130,NA,NA,NA
"AGB",19.0621673,82.2399871,"Odisha","AMBAGAON",764058,2,66.25,1.16666666666667
"AGC",27.1578152,77.9899244,"Uttar Pradesh","AGRA CANTT",282001,173,45.5245901639344,0.636065573770492
